from_address,to_address,distance_km,weight_kg,height_cm,width_cm,length_cm,delivery_option,transport_mode,cost,estimated_time_hours
Bangalore,Chennai,1449,95.19,99.2,97.7,6.5,Normal,Air,35988.22,14.0
Mumbai,Kolkata,1416,44.66,53.5,27.5,35.9,Normal,Air,15543.94,24.4
Delhi,Chennai,365,32.99,79.9,36.8,43.8,Express,Rail,538.68,21.1
Delhi,Ahmedabad,354,4.94,93.4,91.6,7.4,Express,Road,356.89,25.8
Hyderabad,Mumbai,618,38.19,60.4,67.4,19.3,Express,Road,1931.25,35.7
Pune,Kolkata,841,73.44,85.5,55.1,9.9,Normal,Air,15516.26,11.0
Kolkata,Mumbai,1957,33.2,80.9,97.9,26.9,Normal,Air,22816.65,17.0
Pune,Delhi,1004,8.43,58.2,12.3,39.4,Normal,Air,2001.82,10.7
Delhi,Kolkata,776,24.87,91.4,69.0,68.3,Express,Rail,3186.3,15.1
Pune,Bangalore,1536,50.75,19.1,51.9,88.7,Economy,Road,3352.81,58.4
Kolkata,Pune,1165,55.68,93.4,75.6,17.0,Economy,Rail,1408.58,32.6
Pune,Bangalore,1536,35.76,43.2,57.9,72.6,Economy,Rail,1445.27,57.3
Mumbai,Hyderabad,478,5.0,75.2,38.7,47.6,Normal,Air,3277.53,10.8
Ahmedabad,Hyderabad,1430,13.89,22.4,77.8,92.1,Express,Road,3203.38,38.4
Ahmedabad,Bangalore,1075,32.38,21.8,73.6,31.5,Economy,Road,1335.91,54.3
Pune,Delhi,1004,32.62,35.3,21.9,18.6,Express,Air,11570.78,16.9
Hyderabad,Chennai,869,35.06,20.7,32.3,51.2,Economy,Road,1167.13,59.1
Mumbai,Ahmedabad,1164,66.81,18.4,24.7,84.7,Economy,Road,3171.89,61.4
Bangalore,Chennai,1449,49.09,83.1,40.1,31.8,Express,Rail,3349.49,37.6
Kolkata,Chennai,869,71.77,92.3,16.4,89.4,Normal,Rail,1716.44,23.0
Mumbai,Delhi,1685,80.46,75.7,26.1,12.1,Economy,Air,26222.05,23.7
Mumbai,Hyderabad,478,68.95,89.8,8.6,14.5,Express,Air,11908.24,17.9
Chennai,Hyderabad,801,62.91,28.4,60.7,87.9,Economy,Air,9464.78,16.1
Delhi,Hyderabad,1334,49.92,17.5,65.3,13.4,Express,Air,26218.34,7.0
Bangalore,Hyderabad,751,18.22,44.7,30.0,41.1,Express,Road,1054.51,30.2
Delhi,Ahmedabad,354,84.15,88.1,68.5,51.6,Express,Rail,1366.74,14.1
Bangalore,Chennai,1449,96.31,90.2,77.6,44.9,Normal,Rail,3975.09,31.3
Hyderabad,Ahmedabad,1078,11.8,71.2,72.0,78.5,Normal,Rail,2655.48,23.2
Kolkata,Ahmedabad,996,21.9,85.8,43.9,58.4,Normal,Rail,1360.55,36.5
Pune,Bangalore,1536,26.44,10.2,51.1,25.8,Express,Road,2929.24,41.8
Delhi,Kolkata,776,21.02,64.4,95.0,63.3,Normal,Road,3068.3,36.0
Pune,Chennai,498,78.15,36.7,38.5,77.8,Economy,Air,7081.98,16.1
Delhi,Pune,1532,53.8,86.7,26.8,81.1,Normal,Rail,2429.82,34.8
Chennai,Ahmedabad,585,84.63,76.7,55.0,52.6,Normal,Road,2305.59,22.6
Bangalore,Chennai,1449,27.61,16.7,79.5,67.3,Economy,Air,8604.08,10.2
Pune,Chennai,498,1.97,83.9,62.5,19.4,Express,Air,4021.93,16.8
Kolkata,Pune,1165,32.71,53.7,7.2,31.0,Economy,Road,1452.42,58.5
Kolkata,Bangalore,1854,9.76,96.9,58.3,50.9,Express,Air,40036.25,26.4
Pune,Delhi,1004,76.39,72.9,48.0,59.9,Economy,Rail,1940.53,38.4
Mumbai,Hyderabad,478,31.41,18.7,64.8,12.9,Express,Road,1060.22,25.0
Mumbai,Ahmedabad,1164,40.62,84.6,54.7,84.8,Economy,Road,3849.67,51.7
Hyderabad,Pune,489,15.49,35.5,58.7,43.6,Economy,Rail,221.38,32.7
Ahmedabad,Delhi,555,95.97,27.4,48.8,50.9,Express,Air,21942.19,6.8
Mumbai,Bangalore,1816,13.16,6.3,54.4,16.5,Economy,Rail,615.98,63.6
Ahmedabad,Mumbai,1398,62.8,54.8,18.3,88.1,Normal,Rail,2375.33,45.4
Kolkata,Ahmedabad,996,32.58,89.5,58.6,20.8,Normal,Air,8412.62,25.2
Hyderabad,Kolkata,989,60.65,49.9,25.0,36.4,Express,Air,24725.77,8.8
Ahmedabad,Chennai,1240,32.11,22.0,49.7,99.4,Economy,Rail,994.1,35.0
Ahmedabad,Delhi,555,9.92,64.4,61.5,11.3,Express,Air,2222.89,5.0
Bangalore,Delhi,1766,28.78,91.6,45.5,74.3,Normal,Air,28803.73,19.1
Bangalore,Chennai,1449,59.47,14.8,25.6,21.9,Express,Road,5980.39,42.4
Pune,Delhi,1004,57.78,86.1,62.5,96.8,Express,Air,40545.98,8.8
Bangalore,Mumbai,707,9.59,81.3,18.9,20.7,Economy,Rail,148.98,26.1
Ahmedabad,Bangalore,1075,66.65,36.1,52.5,16.1,Express,Rail,3145.08,25.7
Kolkata,Pune,1165,52.44,55.4,88.9,85.0,Economy,Air,20809.77,24.4
Ahmedabad,Bangalore,1075,69.66,28.8,16.4,90.5,Express,Rail,3152.8,34.6
Hyderabad,Ahmedabad,1078,42.7,63.6,88.2,92.5,Economy,Rail,2617.35,53.2
Bangalore,Ahmedabad,1506,36.42,23.5,60.7,36.2,Normal,Rail,1646.37,32.1
Kolkata,Hyderabad,1729,48.13,9.2,71.1,29.0,Express,Road,6829.36,53.5
Ahmedabad,Kolkata,461,63.41,51.6,50.0,88.1,Express,Road,1989.91,29.2
Delhi,Hyderabad,1334,73.75,87.7,17.5,44.9,Economy,Road,3890.74,62.4
Kolkata,Pune,1165,19.82,63.3,6.6,84.5,Normal,Air,5390.68,21.0
Hyderabad,Kolkata,989,1.91,68.1,44.6,68.4,Economy,Road,1542.76,46.0
Kolkata,Chennai,869,17.67,9.2,62.8,70.4,Normal,Road,788.54,46.0
Kolkata,Delhi,313,56.28,16.2,49.3,84.4,Economy,Air,3826.31,23.2
Delhi,Hyderabad,1334,9.1,35.2,64.5,6.9,Economy,Road,458.14,54.4
Bangalore,Delhi,1766,83.81,66.0,90.6,23.2,Express,Road,10679.89,39.9
Kolkata,Mumbai,1957,56.72,44.3,84.4,30.9,Economy,Road,4865.64,82.6
Mumbai,Bangalore,1816,35.84,39.5,78.4,54.7,Express,Air,26026.35,23.0
Pune,Mumbai,1035,54.03,25.0,71.7,38.0,Express,Rail,2369.21,26.6
Kolkata,Chennai,869,51.57,25.0,25.7,29.8,Economy,Air,9246.69,9.2
Hyderabad,Delhi,740,56.6,67.5,90.6,35.6,Economy,Air,8140.38,9.6
Ahmedabad,Delhi,555,34.0,90.8,22.8,39.0,Economy,Rail,457.12,27.4
Ahmedabad,Kolkata,461,57.81,46.3,42.9,84.2,Normal,Air,6493.66,18.5
Kolkata,Chennai,869,97.09,88.4,77.5,90.6,Express,Road,7962.97,39.1
Pune,Kolkata,841,3.34,53.7,92.6,89.2,Express,Air,26290.15,20.3
Delhi,Hyderabad,1334,33.65,96.2,97.2,34.4,Economy,Rail,2042.66,35.1
Delhi,Mumbai,361,88.35,33.6,12.6,27.4,Economy,Rail,702.72,26.3
Hyderabad,Chennai,869,48.0,37.7,49.7,70.2,Express,Road,3386.7,36.3
Bangalore,Pune,1219,91.74,41.8,35.2,93.8,Normal,Rail,3622.0,40.2
Pune,Kolkata,841,39.69,11.8,51.4,75.3,Express,Road,2364.1,34.4
Hyderabad,Delhi,740,34.32,83.2,63.0,76.4,Economy,Air,11213.65,7.1
Kolkata,Bangalore,1854,9.74,41.5,22.1,19.3,Normal,Rail,560.73,40.0
Pune,Mumbai,1035,16.77,69.8,84.3,49.2,Economy,Rail,1491.76,45.1
Chennai,Mumbai,528,32.24,59.6,41.5,48.2,Normal,Air,4647.14,20.5
Kolkata,Bangalore,1854,26.24,65.2,62.3,81.2,Normal,Air,29797.67,14.4
Hyderabad,Chennai,869,78.66,98.2,55.5,41.4,Express,Road,4768.2,37.4
Kolkata,Mumbai,1957,51.73,63.4,87.9,46.3,Normal,Rail,2757.56,48.2
Chennai,Kolkata,863,68.8,29.0,37.1,33.1,Economy,Air,11322.07,14.8
Ahmedabad,Delhi,555,30.12,8.4,15.6,74.5,Express,Air,6138.6,15.4
Delhi,Hyderabad,1334,14.89,51.9,89.8,37.8,Normal,Air,12026.17,25.0
Ahmedabad,Chennai,1240,8.12,40.4,18.9,97.8,Express,Road,1356.17,29.4
Kolkata,Bangalore,1854,40.37,22.5,75.9,73.6,Express,Road,5991.63,38.3
Bangalore,Kolkata,1159,26.47,33.8,53.8,86.2,Economy,Air,7701.4,16.8
Pune,Delhi,1004,74.81,78.9,31.3,68.8,Express,Rail,3656.9,21.6
Pune,Mumbai,1035,2.36,44.4,17.3,30.4,Express,Air,1746.69,5.7
Hyderabad,Mumbai,618,6.84,32.3,72.6,83.6,Express,Rail,1119.77,18.7
Chennai,Delhi,351,34.39,37.9,47.2,48.9,Express,Rail,511.75,21.7
Kolkata,Bangalore,1854,3.71,86.0,96.9,65.0,Express,Rail,8284.69,37.3
Kolkata,Delhi,313,75.21,47.9,49.4,19.8,Express,Road,1809.43,17.9
Chennai,Pune,757,97.35,57.9,51.6,27.3,Express,Road,5392.66,20.9
Pune,Mumbai,1035,21.52,15.5,32.5,87.2,Express,Rail,1012.33,20.1
Kolkata,Delhi,313,77.16,64.9,68.1,70.3,Express,Air,8726.59,12.3
Pune,Bangalore,1536,75.8,32.2,92.8,19.9,Economy,Rail,2676.04,49.3
Ahmedabad,Hyderabad,1430,17.64,91.2,41.4,67.0,Normal,Rail,2035.43,30.1
Mumbai,Kolkata,1416,57.27,43.8,7.2,62.9,Economy,Air,16625.94,27.4
Chennai,Hyderabad,801,60.33,80.0,42.0,53.6,Economy,Road,1916.65,40.2
Ahmedabad,Hyderabad,1430,92.18,35.7,32.8,90.0,Economy,Air,26158.79,20.1
Bangalore,Pune,1219,18.1,48.8,65.9,81.4,Normal,Road,3028.22,37.2
Chennai,Hyderabad,801,67.85,87.4,99.6,86.9,Economy,Rail,3174.64,36.3
Chennai,Bangalore,1818,48.34,74.0,32.8,42.8,Express,Road,6411.05,47.4
Ahmedabad,Bangalore,1075,78.85,14.8,85.5,77.0,Express,Road,6639.54,35.4
Delhi,Mumbai,361,79.66,25.0,14.2,66.0,Economy,Rail,745.28,17.9
Kolkata,Delhi,313,29.88,47.2,79.8,71.5,Express,Rail,772.97,10.8
Kolkata,Chennai,869,22.49,40.2,39.5,32.7,Express,Road,1485.61,32.9
Kolkata,Mumbai,1957,74.5,71.0,18.9,32.8,Normal,Rail,4493.53,37.8
Kolkata,Mumbai,1957,58.63,29.6,73.5,75.8,Express,Rail,5139.47,48.1
Delhi,Kolkata,776,85.33,34.9,40.6,87.2,Normal,Air,15458.54,9.1
Pune,Chennai,498,67.04,11.2,26.4,24.6,Economy,Rail,818.67,19.4
Bangalore,Delhi,1766,50.13,59.1,65.7,6.2,Express,Air,35842.09,13.9
Chennai,Bangalore,1818,62.83,95.4,53.2,30.8,Express,Air,43157.57,22.3
Ahmedabad,Kolkata,461,52.53,28.2,80.7,22.4,Express,Road,1717.55,16.0
Kolkata,Ahmedabad,996,28.11,75.6,74.7,92.2,Economy,Air,19925.7,11.7
Ahmedabad,Bangalore,1075,10.28,88.8,9.9,80.1,Economy,Road,602.96,53.4
Mumbai,Kolkata,1416,59.14,61.8,33.5,5.9,Normal,Road,4371.33,51.8
Ahmedabad,Chennai,1240,25.55,43.7,30.7,65.0,Normal,Air,7894.01,19.3
Kolkata,Pune,1165,53.45,37.4,69.4,52.8,Express,Rail,2584.38,21.9
Chennai,Delhi,351,89.39,53.4,52.1,22.0,Normal,Air,7537.49,13.6
Delhi,Mumbai,361,77.99,77.5,25.3,52.7,Normal,Air,6999.01,23.3
Bangalore,Kolkata,1159,67.35,35.8,23.2,42.6,Economy,Road,3191.11,63.6
Ahmedabad,Hyderabad,1430,59.73,44.6,74.0,26.7,Normal,Rail,2785.0,36.8
Kolkata,Delhi,313,72.81,83.8,35.0,34.3,Express,Rail,1079.41,26.1
Chennai,Bangalore,1818,35.68,81.5,97.6,77.9,Economy,Air,42377.08,14.7
Hyderabad,Chennai,869,32.52,80.1,35.9,58.2,Economy,Road,1190.84,41.7
Mumbai,Ahmedabad,1164,16.46,73.7,94.4,61.3,Economy,Air,19420.36,21.9
Bangalore,Delhi,1766,98.7,60.7,10.6,10.3,Normal,Rail,5268.76,38.8
Ahmedabad,Mumbai,1398,88.14,12.0,97.8,74.6,Economy,Road,5017.32,68.4
Ahmedabad,Mumbai,1398,33.12,56.9,67.8,57.9,Normal,Air,14120.3,8.3
Hyderabad,Pune,489,36.44,78.4,76.0,25.4,Normal,Rail,505.46,15.9
Kolkata,Delhi,313,60.56,93.6,18.3,66.0,Normal,Rail,603.47,26.2
Chennai,Kolkata,863,37.66,58.7,99.6,96.2,Normal,Air,24230.3,18.4
Mumbai,Kolkata,1416,9.67,58.0,15.7,20.0,Express,Road,1042.14,41.6
Bangalore,Pune,1219,7.77,70.0,82.7,49.2,Express,Road,5364.61,36.5
Hyderabad,Bangalore,1863,53.01,70.8,82.9,46.1,Economy,Rail,2455.76,62.5
Chennai,Ahmedabad,585,22.91,45.6,29.6,26.2,Express,Rail,607.01,15.0
Hyderabad,Ahmedabad,1078,86.79,19.5,78.4,24.6,Economy,Road,3387.77,62.1
Delhi,Kolkata,776,35.18,11.6,87.7,93.2,Express,Road,1925.32,36.5
Bangalore,Mumbai,707,77.35,7.6,88.4,94.7,Economy,Rail,1187.9,40.1
Bangalore,Ahmedabad,1506,5.4,46.7,23.9,78.2,Express,Road,1811.13,46.9
Mumbai,Ahmedabad,1164,75.78,16.4,51.5,62.5,Express,Rail,3901.98,18.6
Hyderabad,Bangalore,1863,25.9,15.6,48.4,5.7,Normal,Rail,1581.18,39.8
Kolkata,Pune,1165,7.0,94.9,66.9,26.8,Express,Road,3062.8,43.2
Chennai,Delhi,351,73.1,90.2,9.3,85.5,Economy,Air,4627.98,7.9
Ahmedabad,Pune,900,4.38,61.6,24.9,75.3,Normal,Rail,638.35,28.4
Delhi,Kolkata,776,96.55,75.5,82.0,22.3,Economy,Road,2715.19,39.5
Hyderabad,Pune,489,26.89,35.5,79.4,36.5,Normal,Road,688.35,23.5
Pune,Ahmedabad,1794,60.05,54.9,20.0,6.4,Economy,Road,4240.14,84.8
Ahmedabad,Bangalore,1075,85.69,56.0,17.8,62.3,Express,Road,6648.2,40.8
Delhi,Ahmedabad,354,65.81,39.7,63.3,73.0,Normal,Rail,733.67,14.2
Bangalore,Kolkata,1159,13.42,94.5,26.4,12.8,Economy,Air,3050.93,9.9
Bangalore,Delhi,1766,18.87,67.6,36.2,97.5,Express,Air,31727.68,24.2
Delhi,Ahmedabad,354,42.49,67.8,60.0,93.8,Economy,Air,5841.9,6.0
Bangalore,Mumbai,707,1.93,65.3,84.4,27.6,Normal,Rail,582.25,32.9
Bangalore,Hyderabad,751,87.02,97.2,43.5,99.3,Normal,Air,15562.95,20.4
Hyderabad,Delhi,740,99.67,22.7,37.4,87.8,Express,Rail,3427.38,19.8
Kolkata,Chennai,869,78.3,45.5,7.4,56.6,Economy,Road,2980.32,41.1
Kolkata,Mumbai,1957,87.39,34.2,46.4,98.5,Economy,Air,32033.23,28.0
Bangalore,Mumbai,707,84.08,26.1,6.6,74.7,Normal,Air,15161.15,22.5
Chennai,Pune,757,53.55,56.2,70.9,99.7,Economy,Rail,1344.97,36.3
Bangalore,Pune,1219,93.1,73.0,56.4,95.7,Normal,Road,5422.98,56.3
Kolkata,Bangalore,1854,90.15,97.3,89.9,49.5,Economy,Air,36356.84,14.0
Kolkata,Mumbai,1957,92.34,63.2,96.1,10.6,Normal,Road,8391.77,71.4
Bangalore,Ahmedabad,1506,78.74,66.4,42.1,23.4,Normal,Road,5604.57,47.8
Pune,Chennai,498,72.73,60.7,68.9,24.6,Economy,Air,6918.61,18.2
Kolkata,Ahmedabad,996,10.71,64.7,49.8,67.7,Normal,Road,2190.54,32.5
Hyderabad,Delhi,740,94.97,8.9,84.6,29.3,Express,Rail,3115.64,26.3
Ahmedabad,Pune,900,29.47,54.7,13.4,74.5,Express,Rail,1131.78,25.1
Pune,Bangalore,1536,6.14,15.0,78.1,85.0,Express,Rail,1487.99,29.0
Kolkata,Delhi,313,8.77,14.6,81.6,28.1,Normal,Road,139.75,14.2
Ahmedabad,Kolkata,461,60.86,58.7,62.6,87.7,Express,Rail,1214.63,25.7
Mumbai,Kolkata,1416,9.94,96.8,27.7,60.1,Express,Air,16846.54,20.8
Hyderabad,Ahmedabad,1078,78.92,86.0,59.5,54.7,Normal,Air,22308.51,24.3
Bangalore,Kolkata,1159,18.48,64.9,36.3,32.8,Normal,Road,1119.98,40.1
Hyderabad,Delhi,740,97.37,28.6,47.4,9.5,Normal,Air,19782.28,21.3
Bangalore,Kolkata,1159,77.2,57.0,35.6,43.1,Normal,Road,4782.18,41.7
Bangalore,Delhi,1766,82.95,14.6,73.6,65.7,Normal,Air,36601.86,15.0
Kolkata,Pune,1165,70.89,38.3,81.6,90.1,Economy,Road,3186.37,55.9
Kolkata,Pune,1165,56.21,21.9,63.8,12.2,Economy,Road,2730.27,64.6
Kolkata,Mumbai,1957,71.73,55.6,42.7,92.5,Economy,Air,29841.46,16.2
Mumbai,Delhi,1685,99.94,47.0,8.9,57.1,Express,Rail,6860.11,36.5
Bangalore,Mumbai,707,87.58,46.8,82.1,18.8,Normal,Road,3383.62,32.6
Ahmedabad,Bangalore,1075,55.85,99.8,23.3,22.7,Express,Air,22062.52,23.6
Pune,Hyderabad,1952,26.52,80.7,39.6,81.2,Normal,Rail,2956.82,44.0
Hyderabad,Chennai,869,95.83,17.8,86.7,98.7,Economy,Air,16918.27,24.7
Ahmedabad,Kolkata,461,31.69,81.7,62.4,73.4,Express,Air,13313.04,24.4
Ahmedabad,Delhi,555,57.64,10.1,63.8,52.2,Normal,Road,1744.48,28.2
Chennai,Delhi,351,47.92,72.1,11.1,38.7,Express,Rail,767.46,23.0
Ahmedabad,Bangalore,1075,70.57,94.6,98.7,25.4,Normal,Rail,2293.36,29.2
Pune,Mumbai,1035,76.75,98.1,60.8,87.0,Express,Road,8397.83,24.0
Mumbai,Kolkata,1416,6.83,44.3,20.3,23.5,Express,Road,774.05,45.0
Mumbai,Delhi,1685,9.37,94.9,59.5,95.2,Normal,Rail,5305.62,48.9
Delhi,Chennai,365,31.46,21.9,45.9,28.9,Economy,Road,437.32,23.9
Mumbai,Delhi,1685,45.45,13.9,29.5,88.5,Economy,Air,13966.17,12.3
Chennai,Ahmedabad,585,33.02,34.1,81.0,59.0,Normal,Road,1053.86,30.1
Delhi,Kolkata,776,22.23,37.8,87.8,91.7,Express,Rail,2156.94,27.9
Delhi,Kolkata,776,15.31,82.8,7.9,8.7,Express,Road,945.79,22.9
Hyderabad,Ahmedabad,1078,18.45,54.3,90.5,52.3,Express,Road,4569.23,43.2
Pune,Ahmedabad,1794,45.07,16.1,57.7,37.1,Normal,Road,3832.11,55.5
Pune,Chennai,498,36.15,92.1,92.5,82.0,Express,Air,27420.57,21.7
Mumbai,Hyderabad,478,65.65,91.6,58.5,71.7,Express,Rail,1737.81,15.4
Delhi,Bangalore,747,76.47,32.8,64.5,43.4,Normal,Road,2850.71,29.1
Ahmedabad,Kolkata,461,39.19,52.3,79.7,32.3,Express,Air,6172.16,8.4
Mumbai,Delhi,1685,89.26,76.0,59.3,21.5,Normal,Air,34201.33,26.4
Pune,Mumbai,1035,35.5,56.1,83.3,70.0,Normal,Air,16956.77,16.4
Chennai,Mumbai,528,10.32,95.2,89.8,72.7,Economy,Air,12348.17,18.3
Chennai,Ahmedabad,585,92.25,24.6,70.5,92.8,Economy,Road,2227.55,34.4
Delhi,Bangalore,747,82.74,40.3,84.6,9.3,Economy,Air,11733.83,24.0
Pune,Hyderabad,1952,57.27,87.1,64.5,24.5,Express,Air,45390.54,6.9
Pune,Bangalore,1536,28.17,90.6,82.6,51.4,Express,Road,9086.74,44.2
Ahmedabad,Mumbai,1398,66.46,26.2,65.6,16.0,Normal,Road,4351.36,56.6
Kolkata,Hyderabad,1729,71.64,71.0,32.1,32.2,Express,Rail,5137.5,39.1
Bangalore,Chennai,1449,55.7,52.3,17.1,99.6,Normal,Rail,2232.1,43.5
Delhi,Chennai,365,76.37,81.6,28.0,63.5,Normal,Air,6470.86,5.6
Bangalore,Pune,1219,21.44,35.2,59.0,95.1,Normal,Rail,1566.41,27.7
Chennai,Bangalore,1818,38.31,94.9,53.0,26.4,Express,Road,5052.12,37.7
Ahmedabad,Chennai,1240,84.42,62.2,32.3,20.3,Express,Rail,4293.0,27.2
Chennai,Kolkata,863,72.19,73.8,35.6,8.7,Economy,Air,11796.28,17.8
Pune,Ahmedabad,1794,56.91,86.4,77.4,8.3,Express,Road,6921.83,47.0
Pune,Delhi,1004,68.72,41.7,91.5,27.6,Normal,Air,16386.43,18.9
Ahmedabad,Mumbai,1398,45.7,88.5,26.3,32.3,Express,Road,5235.39,33.1
Delhi,Ahmedabad,354,74.13,46.0,33.5,9.0,Normal,Air,7058.85,24.5
Delhi,Pune,1532,62.84,24.8,43.6,88.9,Normal,Air,23838.17,16.6
Hyderabad,Delhi,740,66.7,17.6,55.3,28.4,Express,Road,3752.48,32.7
Hyderabad,Bangalore,1863,55.05,77.6,43.8,66.2,Economy,Rail,2284.83,60.0
Kolkata,Pune,1165,95.6,87.7,44.2,23.9,Normal,Air,30014.87,25.1
Pune,Mumbai,1035,94.35,7.3,24.6,58.9,Economy,Rail,2570.35,46.2
Pune,Kolkata,841,78.29,23.8,44.1,49.5,Express,Road,5197.51,30.9
Chennai,Hyderabad,801,10.16,11.2,7.0,92.4,Economy,Rail,209.09,41.3
Bangalore,Hyderabad,751,15.48,25.2,84.9,39.5,Normal,Air,3430.06,12.3
Delhi,Ahmedabad,354,30.67,81.2,20.2,88.7,Economy,Rail,240.69,21.8
Ahmedabad,Hyderabad,1430,98.34,70.5,90.8,97.7,Express,Road,14513.05,27.8
Pune,Bangalore,1536,38.25,21.2,6.9,70.4,Normal,Rail,1792.49,45.9
Ahmedabad,Hyderabad,1430,56.89,89.1,98.8,89.2,Economy,Road,8327.22,63.4
Delhi,Chennai,365,99.29,80.1,68.5,96.3,Normal,Rail,1206.09,12.3
Ahmedabad,Chennai,1240,62.38,61.1,99.2,39.7,Normal,Road,3877.94,56.1
Chennai,Bangalore,1818,32.2,20.9,66.7,71.5,Normal,Rail,1930.46,38.8
Ahmedabad,Hyderabad,1430,8.48,57.4,17.4,97.9,Express,Road,2195.78,34.2
Ahmedabad,Bangalore,1075,39.15,71.1,30.7,40.6,Normal,Air,11265.7,14.4
Hyderabad,Mumbai,618,94.32,73.3,57.5,51.4,Normal,Road,3155.43,22.4
Hyderabad,Pune,489,51.12,15.8,82.0,81.6,Economy,Road,914.8,25.0
Bangalore,Pune,1219,9.2,12.2,73.7,75.0,Normal,Air,3757.03,25.8
Ahmedabad,Hyderabad,1430,87.4,79.7,15.1,16.6,Express,Road,8810.33,31.9
Mumbai,Hyderabad,478,95.16,5.4,80.2,27.1,Economy,Air,8332.05,16.0
Ahmedabad,Pune,900,20.13,98.9,62.5,22.7,Normal,Air,6536.61,7.2
Delhi,Kolkata,776,1.13,21.7,23.8,18.7,Express,Air,615.23,19.2
Mumbai,Ahmedabad,1164,19.11,35.5,99.2,20.4,Express,Air,8002.38,18.4
Bangalore,Ahmedabad,1506,25.47,37.8,27.9,5.7,Express,Rail,1650.65,21.6
Ahmedabad,Delhi,555,90.32,10.7,76.8,45.9,Express,Air,18594.58,18.3
Hyderabad,Kolkata,989,77.25,91.9,71.3,62.5,Economy,Air,15431.23,16.2
Ahmedabad,Delhi,555,50.22,77.5,34.8,99.9,Economy,Road,1217.14,30.0
Ahmedabad,Bangalore,1075,32.77,80.6,94.8,43.3,Normal,Rail,1985.75,30.5
Chennai,Pune,757,14.37,35.1,99.0,65.1,Normal,Rail,927.59,30.6
Delhi,Mumbai,361,59.5,22.5,14.0,42.2,Economy,Rail,498.73,20.0
Kolkata,Pune,1165,95.54,57.2,26.6,51.2,Express,Rail,4941.42,22.0
Chennai,Delhi,351,96.16,11.4,35.7,50.3,Normal,Road,1598.22,29.6
Pune,Bangalore,1536,1.79,34.3,20.1,64.9,Express,Air,5081.31,8.6
Kolkata,Delhi,313,72.61,81.7,87.1,40.1,Normal,Road,1026.74,16.5
Hyderabad,Ahmedabad,1078,23.73,87.8,34.7,92.0,Normal,Rail,1832.87,28.9
Bangalore,Mumbai,707,96.56,79.3,59.4,91.6,Express,Air,26160.54,10.0
Ahmedabad,Chennai,1240,31.69,88.7,41.5,19.1,Normal,Road,1976.27,52.8
Kolkata,Chennai,869,45.22,78.9,80.2,31.2,Economy,Rail,1008.71,28.7
Chennai,Delhi,351,35.94,64.0,58.4,79.5,Normal,Rail,686.51,20.7
Bangalore,Kolkata,1159,60.71,33.1,10.8,89.1,Express,Air,25238.06,14.2
Chennai,Delhi,351,26.47,18.7,7.4,66.9,Normal,Road,452.34,33.1
Ahmedabad,Hyderabad,1430,38.51,19.9,47.2,34.8,Normal,Rail,1578.05,37.9
Delhi,Kolkata,776,13.29,95.8,16.8,87.4,Express,Rail,956.63,27.1
Chennai,Hyderabad,801,43.71,35.8,21.9,63.2,Economy,Air,6698.31,17.8
Chennai,Hyderabad,801,71.87,17.5,11.1,11.4,Economy,Road,2313.21,41.4
Hyderabad,Delhi,740,34.15,44.2,76.3,51.8,Express,Road,1948.67,25.2
Delhi,Kolkata,776,82.37,82.4,47.6,15.9,Normal,Road,3029.3,35.1
Chennai,Hyderabad,801,84.37,26.4,9.0,25.8,Economy,Road,2948.89,38.3
Pune,Ahmedabad,1794,63.62,42.6,53.5,32.5,Economy,Air,23807.23,10.6
Bangalore,Kolkata,1159,4.08,26.8,51.7,38.2,Economy,Air,2641.05,24.1
Pune,Mumbai,1035,15.65,5.7,64.6,64.2,Normal,Air,3947.64,22.7
Kolkata,Delhi,313,19.98,90.3,42.3,66.8,Normal,Road,789.94,26.0
Pune,Mumbai,1035,18.89,9.0,81.4,75.6,Economy,Road,822.67,50.6
Bangalore,Kolkata,1159,81.88,39.3,10.2,64.5,Express,Rail,4028.58,16.5
Delhi,Pune,1532,33.73,52.5,73.4,73.4,Normal,Rail,2652.87,37.7
Kolkata,Pune,1165,98.68,86.4,28.6,63.6,Economy,Road,4708.19,69.7
Chennai,Delhi,351,44.78,74.2,96.3,14.2,Normal,Road,808.8,28.4
Hyderabad,Chennai,869,28.36,67.1,33.3,8.3,Economy,Rail,549.11,44.2
Bangalore,Chennai,1449,91.98,75.7,69.8,7.9,Normal,Road,6016.67,41.9
Kolkata,Delhi,313,2.74,58.5,11.0,70.7,Economy,Road,111.59,16.2
Pune,Ahmedabad,1794,46.84,21.6,6.3,90.3,Express,Road,6881.42,52.0
Ahmedabad,Mumbai,1398,80.29,7.3,30.8,87.8,Economy,Air,22215.56,20.8
Pune,Kolkata,841,95.24,51.4,27.0,85.6,Economy,Rail,1870.05,34.6
Ahmedabad,Kolkata,461,16.81,67.6,40.3,57.3,Economy,Rail,361.67,18.7
Pune,Delhi,1004,47.01,38.0,32.8,82.4,Normal,Air,11899.26,14.6
Kolkata,Mumbai,1957,33.61,39.1,49.3,76.6,Express,Road,5317.63,55.5
Delhi,Kolkata,776,34.49,65.1,75.8,85.9,Express,Road,5404.9,34.9
Pune,Chennai,498,82.43,88.7,99.1,56.7,Express,Road,3779.26,23.3
Delhi,Hyderabad,1334,23.06,72.4,36.8,16.1,Express,Rail,1397.71,32.4
